,body,mind,achieve,social,meaning,gender,age,pandemic
643,2,2,1,2,1,1,1,0
644,3,2,2,3,1,1,1,0
645,3,3,3,3,2,0,1,0
646,3,3,2,3,2,1,1,0
647,3,2,1,3,1,1,1,0
648,2,2,1,3,1,1,1,0
649,3,2,2,3,2,1,1,0
650,2,3,2,3,2,1,1,0
651,2,2,1,3,1,1,1,0
652,2,1,1,2,1,1,1,0
653,2,2,1,2,1,1,1,0
654,2,2,2,2,1,1,4,0
655,3,2,2,3,2,0,1,0
656,2,3,2,3,2,1,1,0
657,2,3,2,2,2,1,3,0
658,3,2,2,2,1,1,2,0
659,3,3,2,2,1,0,3,0
660,3,3,3,3,3,0,2,0
661,3,2,2,2,1,1,2,0
662,2,3,2,2,2,0,3,0
663,3,3,1,2,1,1,3,0
664,2,2,1,1,2,0,1,0
665,3,3,2,2,2,0,4,0
666,1,2,1,2,2,0,3,0
667,3,3,2,3,2,0,4,0
668,1,3,1,1,1,0,3,0
669,1,2,2,1,1,0,4,0
670,1,1,1,1,1,1,2,0
671,2,3,2,1,1,0,2,0
672,1,1,3,2,2,1,2,0
673,3,3,3,3,3,1,4,0
674,3,3,3,3,2,0,4,0
675,3,2,3,3,2,0,2,0
676,3,2,2,3,2,1,1,0
677,3,3,2,3,1,0,3,0
678,3,3,2,3,2,0,3,0
679,3,3,3,3,3,0,2,0
680,3,3,2,3,2,1,1,0
681,3,3,2,3,2,1,1,0
682,2,2,1,3,1,1,4,0
683,2,2,3,3,3,0,4,0
684,2,3,2,2,1,1,2,0
685,1,2,2,2,2,1,3,0
686,3,3,1,1,3,0,4,0
687,2,2,1,1,1,1,3,0
688,3,2,2,3,2,1,4,0
689,2,1,1,3,2,1,1,0
690,3,3,2,3,2,1,4,0
691,3,3,2,3,2,1,4,0
692,3,2,3,3,2,0,2,0
693,3,2,2,2,1,1,4,0
694,3,3,3,3,3,0,1,0
695,2,2,2,2,2,1,1,0
696,2,3,3,3,2,1,1,0
697,1,2,2,2,1,0,1,0
698,2,2,1,2,1,0,1,0
699,3,2,2,3,1,1,1,0
700,2,2,3,3,3,0,1,0
701,3,2,1,3,1,1,1,0
702,2,3,2,3,2,1,1,0
703,3,3,3,3,3,0,1,0
704,3,2,3,3,2,1,1,0
705,3,3,2,3,2,0,1,0
706,2,2,3,3,2,0,1,0
707,1,2,2,2,1,1,1,0
708,2,2,2,3,2,1,1,0
709,2,2,2,2,1,0,1,0
710,3,2,2,3,2,0,1,0
711,3,3,3,3,2,1,1,0
712,2,3,3,2,1,1,1,0
713,2,3,2,2,1,0,1,0
714,2,3,2,3,1,1,1,0
715,3,3,2,3,2,1,1,0
716,3,3,2,3,2,0,1,0
717,2,3,2,2,1,0,1,0
718,2,3,2,2,2,1,1,0
719,2,3,3,3,3,1,1,0
720,3,3,3,3,2,1,1,0
721,3,3,2,3,1,0,1,0
722,3,3,3,2,2,1,1,0
723,3,3,2,3,2,0,1,0
724,2,2,2,2,2,1,1,0
725,3,2,3,3,3,1,1,0
726,3,3,3,2,2,1,1,0
727,2,1,1,1,2,0,4,0
728,3,2,1,2,1,1,4,0
729,2,3,1,3,2,1,3,0
730,2,1,1,1,1,0,4,0
731,3,3,2,3,2,0,4,0
732,2,3,2,2,2,1,1,0
733,1,2,2,3,2,1,4,0
734,2,1,2,1,2,1,3,0
735,3,3,2,2,3,0,2,0
736,2,2,2,1,1,1,2,0
737,3,3,2,2,2,0,4,0
738,1,2,1,2,1,0,4,0
739,2,2,2,3,3,0,4,0
740,2,3,1,2,1,1,4,0
741,2,2,2,2,2,1,4,0
742,2,3,2,3,2,1,3,0
743,3,2,3,3,1,0,3,0
744,2,3,2,3,2,1,4,0
745,3,3,2,3,1,0,4,0
746,2,3,1,2,1,1,1,0
747,3,2,2,3,1,1,2,0
748,3,3,3,3,2,0,1,0
749,2,2,1,1,1,0,3,0
750,2,1,1,3,2,1,3,0
751,3,2,1,3,2,1,2,0
752,2,3,1,2,1,1,1,0
753,2,2,2,2,1,1,3,0
754,3,2,3,3,2,0,2,0
755,3,2,2,2,2,1,3,0
756,2,3,3,3,3,1,3,0
757,3,2,1,2,1,1,4,0
758,2,2,2,2,2,1,3,0
759,2,2,2,3,3,1,2,0
760,2,3,1,2,1,1,4,0
761,2,3,2,2,3,0,2,0
762,2,2,2,3,2,1,4,0
763,3,2,1,2,1,1,2,0
764,3,3,2,2,1,0,2,0
765,2,2,2,2,2,0,4,0
766,3,2,1,3,1,1,2,0
767,3,3,2,2,1,1,3,0
768,2,3,3,3,3,1,3,0
769,3,2,2,3,2,1,1,0
